corner_id,latitude,longitude
1,38.6487125,-90.30219083333333
2,38.648705,-90.30220416666667
3,38.64869233333334,-90.30220616666666
4,38.64869683333333,-90.3021975
5,38.648691166666666,-90.302158
1,38.648416833333336,-90.30204466666666
1,38.648555,-90.302186
2,38.648603666666666,-90.30219
3,38.64862266666667,-90.30220116666666
4,38.648622833333334,-90.30224083333333
1,38.6486185,-90.3024
2,38.64859383333334,-90.30239833333333
3,38.64852966666667,-90.302409
4,38.648537833333336,-90.3024185
5,38.64848833333333,-90.30246366666667
1,38.648724666666666,-90.30242183333333
2,38.648732833333334,-90.30242483333333
3,38.6487425,-90.30243233333333
4,38.64873716666666,-90.30242583333333
5,38.64873333333333,-90.302412
6,38.648739666666664,-90.302411
