corner_id,latitude,longitude
1,38.648409,-90.30232183333334
2,38.648408333333336,-90.30231616666667
3,38.648406666666666,-90.302324
4,38.64858516666666,-90.30187183333334
5,38.64863716666667,-90.30180916666667
6,38.64861166666667,-90.30182216666667
1,38.64854016666666,-90.301766
2,38.6485335,-90.30174883333333
3,38.6485125,-90.3017575
4,38.648539,-90.30174483333333
1,38.64874116666667,-90.30221266666666
2,38.648747166666666,-90.30220983333334
3,38.64871316666667,-90.30220866666667
4,38.64868233333333,-90.30219566666666
